	gene_name	PD_2	PD_4	PD_12	Control_3	Control_7	Control_11
None	LOC283788	119	374	227	112	0	336
ENSG00000235059	LOC283856	3	20	10	12	26	14
None	LOC283922	0	5	1	0	7	0
None	LOC284009	0	5	0	0	0	0
None	LOC284023	47	18	60	26	40	35
None	LOC284080	3	4	0	0	0	0
None	LOC284294	0	0	7	0	0	0
None	LOC284344	0	1	1	0	0	3
None	LOC284379	0	0	5	0	0	1
None	LOC284395	12	4	17	2	1	3
None	LOC284412	4	3	0	1	4	1
None	LOC284454	4	7	16	1	0	0
None	LOC284578	51	52	204	82	90	83
None	LOC284581	149	177	179	4	228	3
None	LOC284632	1	2	2	3	0	0
None	LOC284648	5	0	4	6	3	0
None	LOC284661	1	4	1	0	0	0
ENSG00000248738	LOC284788	0	1	0	1	1	0
None	LOC284798	11	4	38	10	19	13
None	LOC284825	3	4	2	0	0	6
None	LOC284865	21	0	0	0	10	2
None	LOC284930	1	3	0	0	0	1
ENSG00000253608	LOC284933	0	0	0	0	0	0
None	LOC284950	0	0	0	0	0	0
None	LOC285000	0	4	0	0	0	0
None	LOC285043	0	1	0	4	2	6
None	LOC285074	0	0	0	4	4	0
None	LOC285484	0	25	24	35	13	0
ENSG00000233365	LOC285593	0	4	0	3	5	6
None	LOC285626	0	0	0	0	0	1
None	LOC285627	0	0	0	0	0	4
None	LOC285629	0	1	7	0	0	2
None	LOC285692	4	2	0	1	0	3
None	LOC285696	7	2	7	36	33	6
None	LOC285740	2	5	0	1	0	0
None	LOC285762	1	5	0	0	0	7
None	LOC285766	2	1	24	18	9	1
ENSG00000236754	LOC285768	1	4	1	0	2	0
None	LOC285804	2	0	0	0	0	0
None	LOC285819	7	22	3	9	14	17
None	LOC285847	6	0	1	1	0	0
None	LOC285889	35	20	11	23	0	5
None	LOC286059	2	1	0	0	0	0
None	LOC286083	1	0	0	1	2	0
None	LOC286114	0	0	1	0	0	0
ENSG00000232900	LOC286177	4	0	1	0	0	8
None	LOC286238	1	0	2	0	0	0
None	LOC286297	0	0	0	0	0	0
None	LOC286359	0	1	0	1	0	0
None	LOC286370	2	3	0	0	0	1
ENSG00000259422	LOC286437	33	68	85	80	49	10
None	LOC338694	1	0	0	1	0	5
None	LOC338797	3	1	0	0	0	0
None	LOC338963	3	0	3	0	6	2
None	LOC339059	6	0	0	0	0	2
None	LOC339166	3	3	1	1	0	0
None	LOC339260	0	0	2	0	1	0
None	LOC339298	7	5	0	1	0	0
ENSG00000248964	LOC339529	1	1	19	2	4	1
ENSG00000255087	LOC339539	1	1	1	1	0	0
None	LOC339568	2	0	2	0	0	0
ENSG00000253871	LOC339593	3	0	0	1	0	0
None	LOC339622	4	1	2	0	0	0
